Meal,Weather,Wait,Temperature,Decision
Lunch,Sunny,Short,90,Stay
Lunch,Cloudy,Long,51,Left
Dinner,Sunny,Long,98,Stay
Lunch,Sunny,Short,57,Left
Lunch,Rain,Long,67,Left
Lunch,Rain,Short,81,Stay
Dinner,Sunny,Short,60,Left
Lunch,Sunny,Long,91,Left
Dinner,Rain,None,85,Stay
Lunch,Rain,Long,64,Left
Dinner,Cloudy,None,40,Stay
Lunch,Rain,Short,68,Stay
Dinner,Sunny,Short,56,Left
Lunch,Sunny,Short,86,Stay
Lunch,Rain,None,41,Stay
Lunch,Rain,Short,54,Stay
Lunch,Cloudy,None,69,Stay
Lunch,Sunny,None,63,Stay
Lunch,Cloudy,Long,95,Stay
Dinner,Rain,None,97,Stay
Dinner,Sunny,Long,41,Left
Dinner,Rain,Short,97,Stay
Lunch,Sunny,None,84,Stay
Dinner,Cloudy,Short,91,Stay
Lunch,Sunny,Long,64,Left
Dinner,Cloudy,Short,46,Left
Lunch,Sunny,Short,86,Stay
Dinner,Sunny,None,69,Stay
Lunch,Cloudy,None,42,Left
Dinner,Sunny,None,88,Stay
Dinner,Rain,None,75,Stay
Lunch,Cloudy,Short,63,Left
Dinner,Sunny,None,55,Stay
Dinner,Sunny,None,57,Stay
Dinner,Rain,Short,43,Stay
Dinner,Rain,Short,99,Stay
Dinner,Rain,Short,59,Stay
Lunch,Cloudy,None,45,Stay
Lunch,Sunny,Short,88,Stay
Lunch,Rain,Long,76,Left
Lunch,Cloudy,None,49,Stay
Dinner,Rain,Short,43,Stay
Dinner,Cloudy,None,78,Stay
Dinner,Rain,None,52,Stay
Lunch,Sunny,None,87,Stay
Dinner,Cloudy,Short,49,Left
Dinner,Rain,Short,73,Stay
Dinner,Cloudy,None,96,Stay
Dinner,Rain,None,50,Stay
Dinner,Sunny,Long,56,Left
Dinner,Cloudy,None,53,Stay
Dinner,Sunny,Long,95,Stay
Dinner,Sunny,Short,53,Left
Dinner,Rain,Short,98,Stay
Lunch,Sunny,Long,79,Left
Lunch,Cloudy,None,77,Stay
Dinner,Sunny,None,67,Stay
Dinner,Rain,None,97,Stay
Lunch,Sunny,Long,42,Left
Lunch,Cloudy,None,44,Stay
Lunch,Sunny,Short,62,Left
Lunch,Sunny,Short,57,Left
Dinner,Sunny,Long,65,Left
Dinner,Sunny,Short,50,Left
Lunch,Cloudy,Short,56,Left
Lunch,Sunny,Short,41,Left
Dinner,Cloudy,Short,88,Stay
Lunch,Rain,Long,77,Left
Dinner,Rain,None,70,Left
Lunch,Rain,Short,85,Stay
Dinner,Cloudy,Long,66,Left
Dinner,Cloudy,None,79,Stay
Dinner,Cloudy,None,72,Stay
Lunch,Cloudy,None,69,Stay
Dinner,Sunny,Short,56,Left
Dinner,Sunny,None,78,Stay
Dinner,Rain,None,97,Stay
Lunch,Cloudy,Long,69,Left
Lunch,Sunny,Short,66,Left
Dinner,Cloudy,None,77,Stay
Lunch,Sunny,Short,58,Left
Dinner,Rain,Short,97,Stay
Lunch,Sunny,None,81,Stay
Lunch,Cloudy,Short,87,Stay
Dinner,Sunny,None,81,Stay
Lunch,Rain,Short,91,Stay
Dinner,Rain,None,48,Stay
Dinner,Cloudy,Long,45,Left
Lunch,Sunny,Short,76,Left
Dinner,Rain,Short,74,Stay
Dinner,Sunny,None,53,Stay
Dinner,Sunny,Short,50,Left
Lunch,Rain,Short,63,Stay
Lunch,Cloudy,Long,43,Left
Dinner,Sunny,None,87,Stay
Lunch,Sunny,Long,42,Left
Dinner,Sunny,None,93,Stay
Dinner,Sunny,None,98,Stay
Dinner,Cloudy,Short,82,Left
Lunch,Cloudy,Long,44,Left
Dinner,Rain,Short,77,Stay
Lunch,Rain,Short,76,Stay
Dinner,Rain,Long,42,Stay
Dinner,Cloudy,Long,99,Stay
Lunch,Sunny,None,86,Stay
Lunch,Sunny,Long,42,Left
Dinner,Sunny,Short,97,Stay
Dinner,Rain,None,44,Stay
Dinner,Cloudy,None,86,Stay
Lunch,Sunny,Long,78,Left
Lunch,Cloudy,None,58,Stay
Dinner,Rain,Long,91,Left
Lunch,Cloudy,Long,87,Left
Dinner,Sunny,Long,86,Left
Lunch,Rain,Long,76,Left
Dinner,Cloudy,Short,71,Left
Dinner,Rain,None,54,Stay
Lunch,Cloudy,Long,63,Left
Dinner,Cloudy,Short,52,Left
Lunch,Sunny,Long,59,Left
Dinner,Sunny,None,96,Stay
Lunch,Cloudy,None,59,Stay
Dinner,Sunny,None,86,Stay
Dinner,Cloudy,Long,93,Left
Dinner,Sunny,Long,78,Left
Dinner,Sunny,Short,72,Left
Dinner,Sunny,None,58,Stay
Dinner,Sunny,Short,96,Stay
Dinner,Sunny,None,74,Stay
Dinner,Sunny,Long,70,Left
Dinner,Sunny,None,94,Stay
Lunch,Sunny,Short,52,Left
Dinner,Cloudy,None,73,Stay
Dinner,Rain,None,92,Left
Lunch,Rain,Long,60,Left
Dinner,Rain,None,82,Stay
Lunch,Rain,Short,91,Stay
Lunch,Cloudy,None,45,Stay
Dinner,Sunny,Long,96,Stay
Dinner,Sunny,None,82,Stay
Dinner,Rain,None,71,Stay
Lunch,Cloudy,Long,45,Left
Lunch,Rain,Short,96,Stay
Dinner,Sunny,None,40,Stay
Lunch,Sunny,Short,41,Left
Lunch,Sunny,Short,41,Left
Lunch,Sunny,Short,91,Stay
Lunch,Rain,Short,64,Stay
Lunch,Sunny,None,94,Stay
Lunch,Rain,Long,61,Left
Dinner,Sunny,Short,42,Left
Lunch,Cloudy,Long,79,Left
Lunch,Cloudy,None,66,Stay
Lunch,Cloudy,Long,41,Left
Lunch,Sunny,None,90,Stay
Dinner,Sunny,Short,43,Left
Lunch,Sunny,Long,74,Left
Dinner,Sunny,Short,61,Left
Lunch,Sunny,None,45,Stay
Lunch,Rain,None,74,Stay
Lunch,Cloudy,None,70,Stay
Dinner,Cloudy,None,70,Stay
Lunch,Rain,None,88,Stay
Dinner,Sunny,None,98,Stay
Lunch,Rain,None,90,Stay
Lunch,Cloudy,None,45,Left
Lunch,Rain,Long,94,Left
Dinner,Sunny,Long,90,Left
Lunch,Sunny,Short,48,Left
Lunch,Cloudy,Short,65,Left
Dinner,Sunny,Long,96,Stay
Dinner,Cloudy,Long,78,Left
Lunch,Rain,None,44,Stay
Dinner,Cloudy,None,48,Stay
Lunch,Sunny,Long,71,Left
Lunch,Rain,Short,99,Stay
Dinner,Sunny,None,49,Stay
Dinner,Cloudy,None,59,Stay
Lunch,Cloudy,Long,41,Left
Lunch,Cloudy,None,57,Stay
Dinner,Cloudy,Long,71,Left
Dinner,Rain,None,51,Stay
Lunch,Sunny,None,71,Stay
Dinner,Sunny,Long,52,Left
Lunch,Sunny,None,40,Stay
Dinner,Rain,None,49,Stay
Dinner,Rain,Short,66,Stay
Lunch,Sunny,Short,79,Left
Lunch,Cloudy,None,66,Stay
Dinner,Rain,None,86,Stay
Lunch,Sunny,Long,88,Left
Lunch,Sunny,None,83,Stay
Lunch,Rain,Long,58,Left
Lunch,Cloudy,Short,89,Stay
Dinner,Sunny,Long,94,Left
Lunch,Cloudy,None,96,Stay
Lunch,Sunny,Long,86,Left
Dinner,Rain,None,68,Stay
Dinner,Rain,Long,44,Stay
Lunch,Sunny,None,87,Stay
Lunch,Cloudy,None,43,Stay
Dinner,Cloudy,Long,77,Left
Dinner,Rain,Short,62,Stay
Dinner,Cloudy,Short,48,Left
Lunch,Sunny,Short,97,Stay
Dinner,Rain,Long,41,Left
Lunch,Rain,None,83,Stay
Lunch,Sunny,None,49,Stay
Dinner,Sunny,Short,89,Stay
Lunch,Cloudy,None,42,Stay
Lunch,Sunny,Long,60,Left
Dinner,Rain,Short,70,Left
Lunch,Cloudy,None,56,Stay
Lunch,Sunny,None,46,Stay
Dinner,Cloudy,Long,83,Left
Dinner,Sunny,None,91,Stay
Dinner,Sunny,None,51,Stay
Dinner,Cloudy,None,67,Stay
Dinner,Cloudy,Short,82,Left
Dinner,Cloudy,None,72,Stay
Lunch,Cloudy,Long,55,Left
Lunch,Sunny,Long,60,Left
Dinner,Rain,Long,47,Stay
Lunch,Rain,None,51,Stay
Dinner,Cloudy,Long,51,Left
Dinner,Rain,Short,46,Stay
Lunch,Rain,Short,54,Stay
Lunch,Sunny,None,56,Stay
Dinner,Cloudy,None,61,Stay
Lunch,Sunny,None,47,Stay
Dinner,Cloudy,Short,53,Left
Dinner,Cloudy,Long,91,Left
Lunch,Rain,Short,94,Stay
Lunch,Cloudy,Short,64,Left
Lunch,Sunny,Long,89,Left
Lunch,Sunny,Long,40,Left
Lunch,Sunny,Long,43,Left
Lunch,Cloudy,None,71,Stay
Lunch,Cloudy,None,57,Stay
Dinner,Sunny,None,55,Stay
Dinner,Cloudy,Short,62,Left
Lunch,Cloudy,None,80,Stay
Dinner,Sunny,Short,62,Left
Dinner,Rain,None,81,Stay
Dinner,Sunny,None,55,Stay
Dinner,Sunny,Short,90,Stay
Dinner,Sunny,Long,75,Left
Lunch,Rain,Long,65,Left
Lunch,Sunny,Long,95,Stay
Dinner,Rain,None,52,Stay
Lunch,Sunny,Long,81,Left
Dinner,Rain,Short,54,Stay
Dinner,Rain,None,70,Stay
Dinner,Rain,Short,80,Stay
Lunch,Rain,None,46,Stay
Dinner,Sunny,Long,92,Left
Lunch,Rain,Short,82,Stay
Lunch,Cloudy,Long,66,Left
Dinner,Sunny,Long,52,Left
Lunch,Sunny,Long,60,Left
Lunch,Sunny,Short,52,Left
Dinner,Sunny,Long,43,Left
Dinner,Sunny,Long,84,Left
Lunch,Cloudy,Short,70,Left
Lunch,Sunny,Long,40,Left
Dinner,Rain,Short,71,Stay
Dinner,Rain,Long,91,Left
Lunch,Rain,Short,45,Stay
Lunch,Sunny,Short,92,Stay
Lunch,Cloudy,None,67,Stay
Dinner,Sunny,Short,74,Left
Dinner,Cloudy,None,42,Stay
Lunch,Cloudy,Short,56,Left
Dinner,Sunny,Long,71,Left
Lunch,Rain,None,52,Stay
Lunch,Rain,None,56,Stay
Lunch,Sunny,Long,56,Left
Dinner,Cloudy,Long,84,Left
Dinner,Sunny,Short,40,Left
Lunch,Sunny,Long,57,Stay
Dinner,Sunny,Long,41,Left
Dinner,Rain,Short,40,Stay
Dinner,Sunny,Long,64,Left
Dinner,Cloudy,Short,65,Left
Dinner,Rain,Short,43,Stay
Dinner,Cloudy,None,73,Stay
Lunch,Rain,Long,57,Left
Dinner,Cloudy,None,73,Stay
Lunch,Sunny,None,79,Stay
Dinner,Rain,None,69,Stay
Dinner,Cloudy,Short,82,Left
Dinner,Rain,Long,53,Left
Lunch,Sunny,Long,49,Left
Lunch,Sunny,Short,61,Left
Dinner,Rain,Short,99,Stay
Lunch,Cloudy,Short,45,Left
Dinner,Rain,None,94,Stay
Lunch,Cloudy,Long,62,Left
Dinner,Sunny,None,93,Stay
Lunch,Sunny,Long,61,Left
Lunch,Sunny,None,79,Stay
Dinner,Rain,None,57,Stay
Dinner,Sunny,None,44,Stay
Lunch,Sunny,Long,75,Left
Dinner,Rain,Long,81,Left
Dinner,Rain,Short,92,Stay
Lunch,Sunny,Long,43,Left
Lunch,Sunny,Long,59,Left
Lunch,Rain,Short,77,Stay
Lunch,Sunny,Long,88,Left
Lunch,Sunny,None,78,Stay
Lunch,Rain,Long,60,Left
Lunch,Cloudy,None,50,Stay
Dinner,Rain,Short,81,Stay
Lunch,Rain,None,79,Stay
Dinner,Cloudy,Short,92,Stay
Lunch,Sunny,Short,84,Left
Lunch,Cloudy,Long,44,Left
Lunch,Cloudy,Long,46,Left
Dinner,Sunny,Short,71,Left
Lunch,Sunny,None,62,Stay
Dinner,Rain,Long,50,Stay
Dinner,Cloudy,None,46,Stay
Lunch,Cloudy,Long,69,Left
Lunch,Cloudy,None,97,Stay
Dinner,Rain,Short,41,Stay
Lunch,Sunny,Long,61,Left
Lunch,Sunny,None,72,Stay
Lunch,Rain,Short,87,Stay
Dinner,Cloudy,None,45,Stay
Dinner,Cloudy,Short,43,Left
Lunch,Rain,None,49,Stay
Dinner,Cloudy,None,54,Stay
Dinner,Rain,Long,97,Left
Dinner,Sunny,Long,99,Stay
Lunch,Sunny,Short,98,Stay
Dinner,Sunny,None,85,Stay
Dinner,Rain,Long,40,Stay
Dinner,Cloudy,Long,51,Left
Lunch,Sunny,Long,52,Left
Dinner,Rain,None,68,Stay
Lunch,Cloudy,None,64,Stay
Dinner,Rain,Long,67,Stay
Lunch,Cloudy,Short,99,Stay
Dinner,Cloudy,Short,76,Left
Lunch,Rain,None,89,Stay
Dinner,Cloudy,Long,91,Left
Dinner,Sunny,None,97,Stay
Dinner,Sunny,None,87,Stay
Dinner,Rain,None,58,Stay
Dinner,Cloudy,None,75,Stay
Dinner,Sunny,Short,44,Left
Lunch,Sunny,Long,78,Left
Lunch,Sunny,None,64,Stay
Dinner,Rain,Short,49,Stay
Dinner,Rain,Short,52,Stay
Dinner,Rain,None,85,Stay
Dinner,Sunny,None,84,Stay
Dinner,Rain,Short,48,Stay
Lunch,Cloudy,Long,90,Stay
Lunch,Sunny,Short,94,Stay
Lunch,Cloudy,Long,82,Left
Dinner,Sunny,None,72,Stay
Dinner,Sunny,Short,71,Left
Lunch,Cloudy,None,79,Stay
Lunch,Rain,None,98,Stay
Lunch,Sunny,None,84,Stay
Lunch,Sunny,None,74,Stay
Lunch,Sunny,None,65,Stay
Lunch,Cloudy,Short,77,Left
Lunch,Rain,Short,96,Stay
Dinner,Cloudy,None,45,Stay
Lunch,Cloudy,Short,63,Left
Dinner,Cloudy,Short,41,Left
Lunch,Rain,Short,40,Stay
Dinner,Cloudy,Short,85,Stay
Lunch,Rain,None,69,Stay
Lunch,Rain,None,74,Stay
Dinner,Cloudy,None,47,Stay
Lunch,Sunny,None,65,Stay
Dinner,Cloudy,Long,56,Left
Lunch,Sunny,Long,85,Left
Lunch,Rain,Short,56,Stay
Lunch,Rain,Short,54,Stay
Dinner,Rain,Long,45,Stay
Lunch,Rain,None,90,Stay
Lunch,Cloudy,None,95,Stay
Dinner,Cloudy,Short,89,Stay
Dinner,Sunny,Short,83,Left
Lunch,Cloudy,None,44,Stay
Dinner,Cloudy,Long,70,Left
Dinner,Sunny,Short,68,Left
Lunch,Rain,None,71,Stay
Dinner,Cloudy,None,44,Stay
Dinner,Rain,None,85,Stay
Dinner,Rain,Short,64,Stay
Dinner,Rain,None,63,Stay
Lunch,Cloudy,Short,83,Left
Lunch,Cloudy,Short,61,Left
Lunch,Cloudy,None,50,Stay
Lunch,Sunny,None,75,Left
Dinner,Cloudy,None,48,Stay
Lunch,Sunny,Short,65,Left
Dinner,Cloudy,Short,74,Left
Lunch,Rain,Short,65,Stay
Lunch,Cloudy,None,73,Stay
Lunch,Cloudy,None,80,Stay
Dinner,Rain,Long,91,Left
Dinner,Cloudy,Long,92,Left
Dinner,Cloudy,Long,63,Left
Dinner,Rain,Long,62,Left
Lunch,Sunny,Short,41,Left
Lunch,Rain,Long,73,Left
Lunch,Sunny,Long,72,Left
Dinner,Rain,Long,96,Left
Dinner,Sunny,Long,66,Left
Lunch,Rain,Long,82,Left
Dinner,Cloudy,Short,92,Stay
Dinner,Rain,Long,87,Left
Lunch,Cloudy,None,44,Stay
Dinner,Rain,Short,97,Stay
Lunch,Sunny,None,75,Stay
Dinner,Cloudy,None,67,Stay
Lunch,Cloudy,Long,56,Left
Dinner,Rain,None,72,Stay
Lunch,Cloudy,None,88,Stay
Lunch,Cloudy,Long,40,Left
Dinner,Cloudy,None,48,Stay
Lunch,Cloudy,Short,74,Left
Lunch,Sunny,Long,64,Left
Lunch,Cloudy,Short,55,Left
Lunch,Cloudy,None,95,Stay
Dinner,Cloudy,Short,46,Left
Dinner,Rain,Short,57,Stay
Dinner,Sunny,Long,56,Left
Lunch,Cloudy,Short,63,Left
Lunch,Cloudy,Short,99,Stay
Lunch,Sunny,None,72,Stay
Lunch,Cloudy,None,51,Stay
Dinner,Sunny,Long,56,Left
Dinner,Rain,Long,92,Left
Lunch,Cloudy,Long,66,Left
Lunch,Cloudy,Long,85,Left
Lunch,Rain,Long,64,Left
Dinner,Cloudy,Long,82,Left
Dinner,Cloudy,Short,68,Left
Dinner,Cloudy,None,52,Stay
Dinner,Rain,Short,77,Stay
Lunch,Cloudy,Short,76,Left
Dinner,Rain,Long,61,Left
Dinner,Cloudy,None,59,Stay
Lunch,Cloudy,Short,53,Left
Lunch,Rain,Long,87,Left
Dinner,Cloudy,Long,84,Left
Dinner,Sunny,Short,74,Left
Dinner,Rain,Long,48,Stay
Dinner,Rain,None,73,Stay
Lunch,Sunny,Short,57,Left
Lunch,Rain,None,56,Stay
Lunch,Cloudy,Long,93,Left
Lunch,Sunny,Long,90,Left
Dinner,Sunny,Short,69,Left
Lunch,Cloudy,Short,56,Left
Lunch,Rain,Short,96,Stay
Dinner,Rain,Long,87,Left
Dinner,Cloudy,Short,58,Left
Lunch,Rain,Short,90,Stay
Dinner,Sunny,None,54,Stay
Dinner,Sunny,Long,40,Left
Lunch,Rain,None,69,Stay
Dinner,Cloudy,None,86,Stay
Dinner,Rain,Long,48,Stay
Dinner,Rain,Long,98,Left
Lunch,Sunny,Long,70,Left
Dinner,Cloudy,Long,85,Left
Lunch,Rain,Long,89,Left
Dinner,Sunny,Short,50,Left
Lunch,Cloudy,Short,86,Stay
Dinner,Sunny,None,55,Stay
Dinner,Cloudy,Long,97,Stay
Lunch,Sunny,Long,67,Left
Dinner,Sunny,None,88,Stay
Dinner,Rain,Short,61,Stay
Dinner,Cloudy,Short,86,Stay
Lunch,Cloudy,Short,86,Stay
Dinner,Sunny,None,57,Stay
Lunch,Sunny,Long,74,Left
Lunch,Sunny,Short,65,Stay
Lunch,Cloudy,None,53,Stay
Dinner,Sunny,Long,87,Left
Dinner,Cloudy,Long,58,Left
Dinner,Sunny,Long,77,Left
Dinner,Rain,Long,56,Left
Dinner,Cloudy,None,64,Stay
Lunch,Sunny,Long,41,Left
Lunch,Sunny,Short,97,Stay
Dinner,Cloudy,Long,65,Left
Lunch,Cloudy,Long,81,Left
Lunch,Sunny,Short,92,Stay
Lunch,Sunny,Long,80,Left
Lunch,Cloudy,Long,63,Left
Lunch,Sunny,Long,95,Stay
Lunch,Rain,Long,78,Left
Dinner,Cloudy,Short,47,Left
Lunch,Cloudy,Short,54,Left
Lunch,Cloudy,None,49,Stay
Lunch,Cloudy,None,98,Stay
Lunch,Rain,Long,90,Left
Lunch,Cloudy,None,65,Stay
Lunch,Cloudy,None,97,Stay
Dinner,Cloudy,None,62,Stay
Dinner,Rain,None,76,Stay
Dinner,Rain,None,55,Stay
Lunch,Rain,None,84,Stay
Lunch,Sunny,Long,87,Left
Lunch,Sunny,Long,41,Left
Dinner,Cloudy,Short,44,Left
Dinner,Rain,None,58,Stay
Dinner,Sunny,None,70,Stay
Lunch,Rain,Short,73,Stay
Lunch,Cloudy,Long,89,Left
Lunch,Rain,Short,40,Stay
Lunch,Cloudy,Long,65,Left
Lunch,Sunny,Short,70,Left
Dinner,Sunny,Long,98,Stay
Dinner,Sunny,Short,58,Left
Dinner,Sunny,Short,55,Stay
Lunch,Rain,None,68,Stay
Dinner,Rain,None,40,Stay
Dinner,Rain,Long,77,Left
Lunch,Sunny,None,56,Stay
Lunch,Sunny,Long,83,Left
Lunch,Rain,Short,97,Stay
Lunch,Rain,Short,84,Stay
Lunch,Sunny,None,43,Stay
Lunch,Rain,Short,53,Stay
Lunch,Rain,None,60,Stay
Lunch,Sunny,Short,52,Left
Dinner,Rain,Short,93,Stay
Lunch,Cloudy,Short,73,Left
Lunch,Sunny,None,96,Stay
Dinner,Cloudy,Short,73,Left
Lunch,Cloudy,Short,61,Left
Dinner,Sunny,Long,80,Left
Dinner,Cloudy,Long,53,Left
Lunch,Sunny,Long,63,Left
Dinner,Cloudy,Short,96,Stay
Lunch,Sunny,None,61,Stay
Lunch,Cloudy,Short,99,Stay
Dinner,Rain,Short,92,Stay
Lunch,Sunny,None,40,Stay
Lunch,Rain,Short,78,Stay
Lunch,Cloudy,Short,48,Left
Lunch,Cloudy,Short,79,Left
Lunch,Rain,None,66,Stay
Dinner,Cloudy,Long,52,Left
Lunch,Sunny,Short,70,Left
Lunch,Rain,None,61,Stay
Lunch,Rain,Long,88,Left
Lunch,Rain,Short,93,Stay
Lunch,Rain,Short,85,Stay
Lunch,Sunny,Short,52,Left
Dinner,Cloudy,None,83,Stay
Lunch,Sunny,Long,89,Left
Lunch,Sunny,None,53,Stay
Dinner,Sunny,None,81,Stay
Dinner,Rain,None,91,Stay
Dinner,Cloudy,None,62,Stay
Lunch,Rain,None,56,Stay
Lunch,Cloudy,Short,71,Left
Lunch,Rain,Long,72,Left
Lunch,Cloudy,Long,82,Left
Dinner,Sunny,Long,66,Left
Lunch,Cloudy,Long,64,Left
Dinner,Sunny,None,89,Stay
Dinner,Rain,Short,94,Stay
Dinner,Cloudy,None,58,Stay
Lunch,Sunny,None,42,Stay
Lunch,Sunny,None,97,Stay
Dinner,Sunny,None,80,Stay
Dinner,Sunny,Short,80,Left
Dinner,Cloudy,Long,81,Left
Lunch,Rain,Long,47,Stay
Dinner,Cloudy,Long,98,Stay
Lunch,Sunny,Long,54,Left
Dinner,Rain,Long,68,Left
Lunch,Sunny,Short,78,Left
Dinner,Cloudy,None,47,Stay
Lunch,Rain,Short,93,Stay
Dinner,Rain,Short,47,Stay
Lunch,Sunny,Long,97,Stay
Dinner,Cloudy,Long,56,Left
Lunch,Cloudy,Short,60,Left
Dinner,Cloudy,Long,41,Left
Dinner,Rain,None,49,Stay
Dinner,Cloudy,None,86,Stay
Lunch,Cloudy,None,53,Stay
Lunch,Sunny,Short,64,Left
Dinner,Cloudy,Long,78,Left
Dinner,Rain,None,99,Stay
Dinner,Cloudy,Long,43,Left
Lunch,Sunny,None,41,Stay
Lunch,Sunny,Short,56,Left
Dinner,Sunny,Long,82,Left
Lunch,Rain,Short,46,Stay
Dinner,Sunny,None,72,Stay
Dinner,Sunny,Long,61,Left
Dinner,Rain,Long,60,Left
Dinner,Sunny,Long,96,Stay
Dinner,Sunny,None,74,Stay
Dinner,Cloudy,None,67,Stay
Dinner,Rain,Long,81,Left
Dinner,Sunny,None,81,Stay
Lunch,Cloudy,Long,60,Left
Dinner,Cloudy,Short,60,Left
Lunch,Rain,Long,86,Left
Lunch,Sunny,Long,59,Left
Dinner,Sunny,Long,83,Stay
Lunch,Cloudy,Short,68,Left
Lunch,Sunny,Short,84,Left
Lunch,Rain,Long,84,Left
Dinner,Rain,None,89,Stay
Dinner,Rain,None,77,Stay
Lunch,Rain,Short,62,Stay
Lunch,Cloudy,None,67,Left
Lunch,Sunny,Short,48,Left
Lunch,Rain,None,60,Stay
Lunch,Sunny,None,52,Stay
Dinner,Cloudy,Long,44,Left
Dinner,Sunny,Long,77,Left
Lunch,Cloudy,Long,61,Left
Dinner,Sunny,Long,62,Left
Lunch,Sunny,Short,91,Stay
Lunch,Rain,None,58,Stay
Lunch,Sunny,Long,92,Left
Lunch,Rain,Long,60,Left
Lunch,Rain,Short,94,Stay
Lunch,Sunny,Long,93,Left
Dinner,Cloudy,Short,57,Left
Lunch,Cloudy,Long,70,Left
Lunch,Rain,Long,62,Left
Lunch,Sunny,None,71,Stay
Lunch,Cloudy,Long,70,Left
Dinner,Rain,None,49,Stay
Lunch,Cloudy,None,89,Stay
Lunch,Sunny,Short,40,Left
Lunch,Cloudy,Short,79,Left
Dinner,Rain,Short,90,Stay
Dinner,Rain,Long,82,Left
Lunch,Rain,Short,42,Stay
Dinner,Rain,Short,77,Stay
Dinner,Sunny,None,41,Stay
Dinner,Cloudy,Short,92,Stay
Lunch,Sunny,None,77,Stay
Dinner,Rain,None,55,Stay
Dinner,Rain,Short,55,Stay
Lunch,Sunny,None,57,Stay
Lunch,Sunny,Short,93,Stay
Lunch,Cloudy,Short,58,Left
Lunch,Rain,Short,42,Stay
Lunch,Rain,Long,70,Left
Dinner,Cloudy,None,45,Stay
Lunch,Sunny,Long,50,Left
Lunch,Cloudy,None,99,Stay
Lunch,Rain,Long,75,Left
Lunch,Sunny,None,98,Stay
Dinner,Cloudy,Long,81,Left
Lunch,Sunny,Short,50,Left
Lunch,Cloudy,Long,40,Left
Dinner,Sunny,Short,57,Left
Lunch,Cloudy,Short,82,Left
Dinner,Rain,None,71,Stay
Lunch,Sunny,Long,76,Left
Dinner,Cloudy,Long,83,Left
Dinner,Sunny,Short,99,Stay
Lunch,Sunny,Short,50,Left
Dinner,Sunny,None,46,Stay
Lunch,Cloudy,None,63,Stay
Lunch,Cloudy,None,97,Stay
Dinner,Sunny,None,70,Stay
Dinner,Cloudy,None,91,Stay
Lunch,Cloudy,None,81,Stay
Lunch,Rain,Long,91,Left
Dinner,Sunny,Short,80,Left
Dinner,Cloudy,Long,94,Left
Dinner,Cloudy,Long,62,Left
Lunch,Cloudy,Short,64,Left
Lunch,Cloudy,Long,47,Left
Lunch,Rain,Long,97,Left
Lunch,Cloudy,Short,55,Left
Dinner,Sunny,Short,93,Stay
Lunch,Rain,Long,94,Left
Lunch,Cloudy,None,93,Stay
Dinner,Sunny,Long,58,Left
Lunch,Rain,Short,96,Stay
Lunch,Cloudy,None,55,Stay
Lunch,Sunny,Long,74,Left
Lunch,Sunny,Long,67,Left
Lunch,Rain,Short,48,Stay
Dinner,Cloudy,Long,43,Left
Dinner,Rain,Long,63,Left
Dinner,Rain,None,91,Stay
Dinner,Sunny,Short,79,Left
Lunch,Sunny,Long,94,Left
Lunch,Sunny,Long,76,Left
Dinner,Cloudy,Long,52,Left
Dinner,Cloudy,Short,89,Stay
Lunch,Cloudy,Long,64,Left
Dinner,Rain,Short,55,Stay
Lunch,Rain,Short,62,Stay
Lunch,Cloudy,Short,79,Stay
Dinner,Cloudy,Short,97,Stay
Dinner,Rain,Long,99,Left
Lunch,Rain,None,96,Stay
Lunch,Cloudy,Long,98,Stay
Dinner,Sunny,Short,55,Left
Lunch,Sunny,None,59,Stay
Lunch,Rain,Long,67,Left
Lunch,Rain,None,85,Stay
Lunch,Cloudy,None,83,Stay
Dinner,Sunny,None,77,Stay
Dinner,Rain,Short,46,Stay
Dinner,Sunny,Long,58,Left
Lunch,Rain,None,61,Stay
Dinner,Rain,Short,84,Stay
Dinner,Cloudy,None,48,Stay
Lunch,Sunny,Long,93,Left
Lunch,Cloudy,Long,48,Left
Lunch,Cloudy,Long,88,Left
Dinner,Rain,Short,42,Stay
Lunch,Cloudy,Short,97,Stay
Lunch,Rain,Long,72,Left
Dinner,Cloudy,Long,95,Stay
Dinner,Rain,None,59,Stay
Lunch,Rain,None,64,Stay
Lunch,Rain,Short,63,Stay
Lunch,Sunny,Short,74,Left
Dinner,Rain,Short,40,Stay
Lunch,Sunny,Short,47,Left
Lunch,Sunny,Short,74,Left
Dinner,Sunny,Short,87,Stay
Dinner,Rain,Long,99,Left
Lunch,Sunny,Long,79,Left
Dinner,Rain,Long,43,Stay
Dinner,Cloudy,Long,56,Left
Dinner,Rain,Long,93,Left
Lunch,Sunny,None,76,Stay
Dinner,Cloudy,Long,91,Left
Dinner,Sunny,Short,70,Left
Lunch,Cloudy,Short,42,Left
Lunch,Rain,Long,48,Left
Dinner,Cloudy,None,65,Stay
Dinner,Rain,None,92,Stay
Dinner,Cloudy,Long,43,Left
Lunch,Sunny,Short,60,Left
Dinner,Cloudy,None,81,Stay
Lunch,Sunny,None,74,Stay
Lunch,Rain,Long,92,Left
Lunch,Cloudy,None,47,Stay
Lunch,Sunny,None,62,Stay
Dinner,Rain,None,63,Stay
Dinner,Cloudy,Short,90,Stay
Dinner,Sunny,None,74,Stay
Dinner,Sunny,None,95,Stay
Lunch,Cloudy,Long,47,Left
Dinner,Cloudy,Long,83,Left
